Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
4024,9/11/2020,20,4,7,45,11,37,41,28,0,0,0,0,16,1,117297.6,7331.1,280,29,179410,640.75,14675,1755,510690,34.8,32630,3892,726017.5,22.25,58428,6950,1226988,21
4022,2/11/2020,45,42,21,40,32,44,36,24,0,0,0,0,16,0,117662.4,7353.9,280,31,180824,645.8,14768,1696,514664.8,34.85,29189,3050,731184.45,25.05,59218,6509,1237656.2,20.9
4020,26/10/2020,6,29,24,2,43,14,10,17,0,0,0,0,11,3,65229.45,5929.95,167,21,100951.5,604.5,10882,1296,287284.8,26.4,29740,3494,408925,13.75,67358,7934,690419.5,10.25
4018,19/10/2020,39,25,45,16,1,13,10,30,0,0,0,0,17,2,71641.4,4214.2,253,71,110877.25,438.25,12611,2550,315275,25,30672,5415,449344.8,14.65,74922,8711,760458.3,10.15
4016,12/10/2020,33,9,5,2,28,10,30,40,0,0,0,0,22,2,67653.3,3075.15,282,28,104706.6,371.3,14938,1515,298013.1,19.95,31107,3337,423055.2,13.6,61647,6511,718187.55,11.65
4014,5/10/2020,37,7,39,5,28,22,24,14,1,0,1000000,1000000,18,1,63729.9,3540.55,170,21,98625.5,580.15,11011,1294,280780.5,25.5,28282,3479,398776.2,14.1,60658,7657,676336.7,11.15
4012,28/09/2020,3,17,11,24,38,16,31,26,2,1,2000000,1000000,14,0,71160.6,5082.9,269,21,110128.6,409.4,14025,1460,313458.75,22.35,32847,3088,445076.85,13.55,64304,5792,752356.8,11.7
4010,21/09/2020,22,35,18,1,4,8,14,38,2,0,2000000,1000000,17,0,77711.25,4571.25,351,32,120270.15,342.65,15992,1723,342228.8,21.4,36645,3872,487378.5,13.3,62896,7125,823937.6,13.1
4008,14/09/2020,31,16,23,43,1,24,18,36,1,0,1000000,1000000,13,2,68819.4,5293.8,181,18,106509.45,588.45,10287,1258,302952.15,29.45,26503,3215,430673.75,16.25,61271,6993,729124.9,11.9
4006,7/09/2020,9,16,23,44,36,1,39,25,0,0,0,0,18,1,170868.6,9492.7,255,20,264435,1037,14320,1529,753232,52.6,34870,3597,1070509,30.7,68248,7437,1808572,26.5
4004,31/08/2020,38,7,2,1,5,30,17,37,0,0,0,0,10,0,68518,6851.8,264,39,106035.6,401.65,13689,1631,301842.45,22.05,30208,3314,428953.6,14.2,62044,7131,725914.8,11.7
4002,24/08/2020,32,12,42,38,14,5,11,20,2,0,2000000,1000000,13,1,74881.95,5760.15,242,23,115893.8,478.9,11862,1311,329763.6,27.8,31395,3606,469355.25,14.95,77933,8186,794916.6,10.2
4000,17/08/2020,20,31,10,22,37,12,29,33,2,0,2000000,1000000,12,2,73888.2,6157.35,235,21,114351,486.6,13270,1441,325778.5,24.55,32346,3604,462547.8,14.3,67814,7348,783251.7,11.55
3998,10/08/2020,2,37,30,38,23,25,36,3,1,0,1000000,1000000,16,4,75530.4,4720.65,267,36,116892.6,437.8,11602,1465,332977.4,28.7,29104,3469,472940,16.25,62340,6834,801069,12.85
3996,3/08/2020,40,24,17,1,12,4,8,15,1,0,1000000,1000000,22,1,83625.3,3801.15,325,41,129415,398.2,16078,1902,368186.2,22.9,44188,4713,523627.8,11.85,86468,9373,886297,10.25
3994,27/07/2020,45,37,34,5,44,12,38,35,0,0,0,0,12,4,122738.4,10228.2,245,28,189948.5,775.3,12510,1508,540432,43.2,30035,3421,768896,25.6,64289,6704,1301852.25,20.25
3992,20/07/2020,18,2,7,14,3,35,5,16,2,0,2000000,1000000,12,3,72117,6009.75,268,24,111608.6,416.45,14201,1578,317392.35,22.35,37962,4273,451747.8,11.9,70438,7945,764252.3,10.85
3990,13/07/2020,11,22,9,20,4,3,44,17,2,0,2000000,1000000,18,1,78959.7,4386.65,476,53,122189.2,256.7,20204,2117,347508.8,17.2,41934,4488,494821.2,11.8,65990,7182,838073,12.7
3988,6/07/2020,15,1,41,42,8,45,22,30,1,0,1000000,1000000,14,2,62431.6,4459.4,226,33,96615,427.5,11759,1215,275160.6,23.4,24616,2904,391394.4,15.9,54054,6731,662161.5,12.25
