Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount
1395,10/11/2020,20,32,19,5,24,38,8,25,34,0,0,0.00,0.00,10,1,300442.00,30044.20,131,14,618555.80,4721.80,856,93,318132.40,371.65,7466,833,371060.20,49.70,172618,19999,4237771.90,24.55,298717,34431,4749600.30,15.90
1394,03/11/2020,31,13,19,8,44,45,39,12,33,0,0,0.00,0.00,1,0,188716.65,188716.65,88,13,388533.20,4415.15,490,55,199822.00,407.80,4554,466,233164.80,51.20,102384,11103,2661984.00,26.00,182815,20261,2989025.25,16.35
1393,27/10/2020,43,39,13,15,21,12,32,29,24,0,0,0.00,0.00,4,0,133418.00,33354.50,40,4,274684.00,6867.10,349,41,141257.75,404.75,2951,312,164813.35,55.85,68378,7613,1883813.90,27.55,126788,14275,2111020.20,16.65
1392,20/10/2020,28,21,14,26,32,9,43,35,17,0,0,0.00,0.00,2,0,110616.00,55308.00,41,3,227738.60,5554.60,316,34,117125.40,370.65,2753,314,136686.45,49.65,60178,7058,1561619.10,25.95,109780,12920,1750991.00,15.95
1391,13/10/2020,13,11,38,43,20,39,8,6,3,2,1,2502772.10,1251386.05,2,0,106282.60,53141.30,70,3,218816.50,3125.95,348,28,112543.20,323.40,2932,351,131353.60,44.80,58710,6798,1500040.50,25.55,112382,12751,1680110.90,14.95
1390,06/10/2020,12,26,22,13,10,43,25,34,2,1,0,11283854.81,11283854.81,2,1,208410.70,104205.35,86,9,429079.80,4989.30,626,66,220665.00,352.50,5303,612,257460.65,48.55,119725,13661,2945235.00,24.60,213589,24432,3299950.05,15.45
1389,29/09/2020,41,2,21,25,7,22,12,1,4,0,0,0.00,0.00,4,2,153391.60,38347.90,66,10,315806.70,4784.95,487,55,162414.50,333.50,4250,463,189550.00,44.60,95452,10058,2166760.40,22.70,172764,17797,2427334.20,14.05
1388,22/09/2020,3,2,37,22,45,18,34,30,14,0,0,0.00,0.00,3,1,118055.25,39351.75,47,4,243055.80,5171.40,343,40,125006.35,364.45,2767,279,145820.90,52.70,61805,6906,1665644.75,26.95,109004,12815,1869418.60,17.15
1387,15/09/2020,18,44,31,41,2,10,36,5,23,1,0,20000000.00,20000000.00,3,0,267798.45,89266.15,139,13,551350.45,3966.55,760,81,283556.00,373.10,6451,692,330936.30,51.30,140086,15398,3782322.00,27.00,256775,28127,4236787.50,16.50
1386,08/09/2020,2,15,13,10,21,24,34,22,42,0,0,0.00,0.00,5,1,201855.50,40371.10,87,7,415585.95,4776.85,571,54,213725.30,374.30,5154,566,249453.60,48.40,114834,12411,2847883.20,24.80,197522,21520,3189980.30,16.15
1385,01/09/2020,41,14,33,30,18,17,37,12,43,0,0,0.00,0.00,4,1,139893.40,34973.35,58,7,288016.40,4965.80,369,49,148116.60,401.40,3111,334,172816.05,55.55,70344,7864,1976666.40,28.10,129131,13984,2214596.65,17.15
1384,25/08/2020,13,7,27,16,17,40,3,6,41,0,0,0.00,0.00,6,2,115129.20,19188.20,101,11,237031.85,2346.85,434,33,121910.60,280.90,4507,479,142195.85,31.55,83490,9724,1623880.50,19.45,120357,13908,1823408.55,15.15
1383,18/08/2020,45,43,10,22,26,12,21,19,1,1,0,12552379.34,12552379.34,7,2,255944.15,36563.45,122,7,526942.40,4319.20,755,87,271007.25,358.95,6018,651,316245.90,52.55,139358,15733,3616340.10,25.95,260230,29480,4046576.50,15.55
1382,11/08/2020,30,43,10,5,27,22,17,25,35,0,0,0.00,0.00,7,1,157255.35,22465.05,110,10,323763.00,2943.30,515,70,166499.50,323.30,4484,538,194157.20,43.30,96647,11555,2218048.65,22.95,162102,19137,2488265.70,15.35
1381,04/08/2020,32,34,41,33,36,25,29,3,4,0,0,0.00,0.00,7,1,120095.85,17156.55,53,5,247255.60,4665.20,237,32,127162.35,536.55,2719,349,148321.45,54.55,60233,7563,1695558.95,28.15,105473,12912,1898514.00,18.00
1380,28/07/2020,10,27,26,18,23,32,36,20,5,2,1,11730060.44,5865030.22,8,0,224194.40,28024.30,94,15,461577.60,4910.40,704,71,237388.80,337.20,5431,633,276981.00,51.00,126145,13458,3166239.50,25.10,234490,24969,3552523.50,15.15
1379,21/07/2020,29,38,18,32,13,16,39,37,15,0,0,0.00,0.00,4,1,152921.00,38230.25,82,7,314839.00,3839.50,353,30,161921.10,458.70,3650,384,188887.50,51.75,80577,8821,2159463.60,26.80,138744,15168,2421082.80,17.45
1378,14/07/2020,41,2,1,40,24,43,28,37,8,0,0,0.00,0.00,4,0,121822.80,30455.70,39,7,250810.95,6431.05,312,36,128996.40,413.45,2539,280,150435.75,59.25,60162,6617,1720633.20,28.60,116880,13043,1928520.00,16.50
1377,07/07/2020,12,9,13,7,32,5,4,19,35,1,0,50000000.00,50000000.00,16,1,527284.00,32955.25,291,37,1085590.05,3730.55,1776,204,558285.60,314.35,15564,1813,651353.40,41.85,336227,38149,7447428.05,22.15,571228,65783,8339928.80,14.60
1376,30/06/2020,28,26,17,39,1,44,38,14,41,0,0,0.00,0.00,7,0,360960.60,51565.80,137,19,743156.50,5424.50,887,105,382208.30,430.90,8153,967,445969.10,54.70,186825,21279,5100322.50,27.30,338088,38451,5713687.20,16.90
1375,23/06/2020,41,13,3,17,20,9,1,28,45,0,0,0.00,0.00,7,0,281924.30,40274.90,137,9,580434.75,4236.75,815,95,298493.75,366.25,7996,856,348225.80,43.55,174494,19382,3978463.20,22.80,288066,32140,4465023.00,15.50
1374,16/06/2020,1,2,21,22,13,27,38,24,33,0,0,0.00,0.00,3,0,203898.90,67966.30,94,9,419789.90,4465.85,566,52,215900.70,381.45,5200,503,251940.00,48.45,119445,11844,2878624.50,24.10,206020,20814,3224213.00,15.65
1373,09/06/2020,38,31,39,26,8,11,27,3,36,0,0,0.00,0.00,1,0,138934.20,138934.20,53,4,286041.00,5397.00,394,43,147099.90,373.35,3182,370,171668.90,53.95,76452,8468,1960993.80,25.65,140866,15699,2197509.60,15.60
1372,02/06/2020,26,42,20,18,6,28,11,45,37,0,0,0.00,0.00,4,2,108162.60,27040.65,56,6,222686.80,3976.55,301,46,114530.50,380.50,2927,393,133617.55,45.65,63779,7522,1527507.05,23.95,100621,11499,1710557.00,17.00
1371,26/05/2020,22,30,24,12,5,3,27,39,28,1,1,2499646.40,2499646.40,0,0,0.00,0.00,77,10,325140.20,4222.60,331,44,112556.55,340.05,3756,451,131272.20,34.95,73102,8630,1502246.10,20.55,111751,13272,1681852.55,15.05
1370,19/05/2020,24,11,21,25,19,23,45,33,41,1,0,16917396.58,16917396.58,7,0,273134.40,39019.20,124,12,562333.80,4534.95,693,93,289188.90,417.30,7314,928,337541.10,46.15,159904,19280,3853686.40,24.10,268390,31216,4321079.00,16.10
1369,12/05/2020,5,30,7,6,39,28,22,41,11,0,0,0.00,0.00,7,1,215459.30,30779.90,85,10,443593.75,5218.75,617,63,228135.75,369.75,5250,578,266175.00,50.70,123803,13812,3039363.65,24.55,227198,24957,3407970.00,15.00
1368,05/05/2020,25,31,1,10,26,29,27,14,34,0,0,0.00,0.00,5,1,128213.00,25642.60,65,5,263968.25,4061.05,394,58,135752.70,344.55,3733,378,158465.85,42.45,77275,8423,1808235.00,23.40,126719,13789,2027504.00,16.00
1367,28/04/2020,34,14,8,1,44,22,45,42,38,0,0,0.00,0.00,3,0,101766.90,33922.30,41,4,209520.25,5110.25,278,36,107752.80,387.60,2347,274,125681.85,53.55,54596,5906,1435874.80,26.30,90520,9892,1611256.00,17.80
1366,21/04/2020,13,11,16,34,23,28,39,21,8,1,0,2289010.50,2289010.50,2,0,97339.80,48669.90,71,8,200404.60,2822.60,350,52,103057.50,294.45,2615,296,120290.00,46.00,56319,6236,1374183.60,24.40,106316,11951,1541582.00,14.50
1365,14/04/2020,30,31,1,9,15,14,37,17,42,1,0,15000000.00,15000000.00,4,0,221789.80,55447.45,86,10,456625.60,5309.60,590,67,234849.50,398.05,5208,558,273940.80,52.60,119407,12913,3128463.40,26.20,210230,22940,3510841.00,16.70
1364,07/04/2020,45,15,29,43,25,33,20,36,2,0,0,0.00,0.00,4,0,192464.20,48116.05,58,7,396250.20,6831.90,473,48,203792.05,430.85,4449,510,237799.05,53.45,102728,11170,2717155.60,26.45,185844,19734,3047841.60,16.40
1363,31/03/2020,5,30,42,11,34,10,32,36,40,0,0,0.00,0.00,3,0,121868.25,40622.75,61,5,250905.20,4113.20,289,32,129038.50,446.50,2938,306,150572.50,51.25,66528,7517,1719748.80,25.85,115330,12785,1926011.00,16.70
1362,24/03/2020,23,13,6,45,27,8,19,31,2,0,0,0.00,0.00,4,0,83169.40,20792.35,51,9,171229.95,3357.45,338,33,88065.90,260.55,2845,362,102704.50,36.10,59482,7088,1174769.50,19.75,98153,11575,1315250.20,13.40
1361,17/03/2020,12,24,14,5,16,9,33,17,2,1,0,15000000.00,15000000.00,3,0,169660.80,56553.60,89,9,349302.75,3924.75,520,61,179634.00,345.45,4559,498,209486.05,45.95,101503,11417,2395470.80,23.60,182037,20376,2685045.75,14.75
1360,10/03/2020,14,37,32,10,22,24,25,2,36,0,0,0.00,0.00,5,2,148500.75,29700.15,52,7,305736.60,5879.55,355,43,157229.50,442.90,3496,433,183365.20,52.45,77673,9025,2097171.00,27.00,138403,16036,2352851.00,17.00
1359,03/03/2020,29,42,30,14,13,31,21,22,7,0,0,0.00,0.00,5,0,112953.75,22590.75,36,4,232551.00,6459.75,358,37,119589.90,334.05,2642,310,139497.60,52.80,61343,7168,1594918.00,26.00,123076,13953,1784602.00,14.50
1358,25/02/2020,9,32,31,20,34,40,39,27,2,0,0,0.00,0.00,0,0,0.00,0.00,43,4,278048.75,6466.25,204,29,96247.20,471.80,1887,248,112276.50,59.50,43876,5471,1283373.00,29.25,80078,10122,1437400.10,17.95
1357,18/02/2020,37,9,16,13,39,11,43,31,29,1,0,5018954.36,5018954.36,4,0,120871.60,30217.90,53,4,248853.55,4695.35,347,38,127973.60,368.80,2741,328,149247.45,54.45,63627,7723,1705203.60,26.80,120505,14704,1910004.25,15.85
1356,11/02/2020,31,8,24,26,21,19,20,1,12,0,0,0.00,0.00,3,1,92219.55,30739.85,50,1,189865.00,3797.30,368,43,97648.80,265.35,2303,287,113883.35,49.45,56354,6865,1301777.40,23.10,106056,12598,1458270.00,13.75
1355,04/02/2020,11,35,24,16,31,5,4,7,14,1,0,10000000.00,10000000.00,8,0,157566.80,19695.85,87,7,324401.25,3728.75,568,75,166821.60,293.70,4220,477,194542.00,46.10,93270,10410,2224489.50,23.85,176717,19685,2491709.70,14.10
1354,28/01/2020,40,35,3,31,9,36,12,1,8,0,0,0.00,0.00,2,0,108920.20,54460.10,33,7,224248.20,6795.40,246,35,115324.80,468.80,2288,291,134534.40,58.80,56932,6835,1537164.00,27.00,108515,12755,1725388.50,15.90
1353,21/01/2020,17,12,40,43,37,22,5,27,36,0,0,0.00,0.00,6,1,91658.40,15276.40,43,8,188707.65,4388.55,359,48,97055.65,270.35,2070,249,113229.00,54.70,49009,6496,1293837.60,26.40,92022,11850,1449346.50,15.75
1352,14/01/2020,34,7,44,10,21,40,9,2,37,2,0,10418658.22,5209329.11,6,1,188483.10,31413.85,83,12,388054.05,4675.35,525,61,199578.75,380.15,4627,539,232738.10,50.30,104313,12638,2659981.50,25.50,186175,22076,2978800.00,16.00
1351,07/01/2020,15,34,28,26,17,10,45,18,12,0,0,0.00,0.00,4,0,130685.80,32671.45,56,8,269057.60,4804.60,332,33,138377.60,416.80,2976,412,161448.00,54.25,69549,8920,1846525.95,26.55,129612,15988,2067311.40,15.95
1350,31/12/2019,10,11,29,1,39,23,5,42,40,0,0,0.00,0.00,1,0,123427.60,123427.60,66,11,254116.50,3850.25,343,35,130683.00,381.00,3864,461,152434.80,39.45,79375,9827,1742281.25,21.95,118330,14958,1952445.00,16.50
1349,24/12/2019,21,32,29,28,22,20,5,45,41,1,0,20000000.00,20000000.00,11,2,252212.40,22928.40,120,17,519258.00,4327.15,696,81,267055.20,383.70,6650,714,311552.50,46.85,143780,16479,3558555.00,24.75,235984,27316,3988129.60,16.90
1348,17/12/2019,32,1,34,44,7,33,37,26,12,0,0,0.00,0.00,3,0,201847.35,67282.45,83,15,415568.55,5006.85,542,66,213710.60,394.30,4425,533,249348.75,56.35,104755,12036,2849336.00,27.20,187892,21917,3194164.00,17.00
1347,10/12/2019,19,35,3,34,8,44,30,20,15,0,0,0.00,0.00,7,1,171657.15,24522.45,75,10,353411.25,4712.15,522,54,181760.40,348.20,4405,492,212100.75,48.15,96478,10955,2421597.80,25.10,174033,20119,2714914.80,15.60
1346,03/12/2019,11,42,26,37,30,45,28,1,35,0,0,0.00,0.00,4,1,125131.00,31282.75,57,9,257622.90,4519.70,377,48,132496.65,351.45,2969,357,154536.45,52.05,67366,8315,1764989.20,26.20,120508,14666,1982356.60,16.45
1345,26/11/2019,2,26,1,9,8,42,35,3,27,0,0,0.00,0.00,2,0,97488.80,48744.40,40,5,200712.00,5017.80,287,30,103219.55,359.65,2326,270,120370.50,51.75,54164,6625,1375765.60,25.40,102277,12634,1544382.70,15.10
1344,19/11/2019,21,40,8,23,5,39,38,17,16,1,0,5000000.00,5000000.00,2,0,114687.90,57343.95,44,4,236121.60,5366.40,306,28,121436.10,396.85,2623,288,141642.00,54.00,61508,7244,1617660.40,26.30,110921,13935,1813558.35,16.35
1343,12/11/2019,9,28,41,32,39,40,29,26,18,0,0,0.00,0.00,0,0,0.00,0.00,25,4,279827.50,11193.10,241,32,96857.90,401.90,1876,231,113029.00,60.25,43864,5564,1291794.80,29.45,81763,10382,1447205.10,17.70
1342,05/11/2019,24,4,36,23,42,8,30,21,37,1,0,10000000.00,10000000.00,9,0,161164.80,17907.20,99,11,331808.40,3351.60,457,44,170643.80,373.40,4084,441,199095.00,48.75,92098,10718,2274820.60,24.70,152887,17887,2553212.90,16.70
1341,29/10/2019,1,44,20,41,21,14,26,4,45,0,0,0.00,0.00,3,1,120448.35,40149.45,43,3,247981.00,5767.00,296,37,127531.60,430.85,2591,331,148852.95,57.45,62564,7194,1701740.80,27.20,118030,13416,1906184.50,16.15
1340,22/10/2019,30,42,28,27,16,14,33,2,36,0,0,0.00,0.00,1,0,102325.75,102325.75,31,6,210671.35,6795.85,263,44,108342.85,411.95,2322,310,126432.90,54.45,54928,7082,1444606.40,26.30,98748,12269,1619467.20,16.40
1339,15/10/2019,5,32,22,13,20,25,42,21,23,1,0,50000000.00,50000000.00,12,1,506377.20,42198.10,250,19,1042537.50,4170.15,1468,150,536187.00,365.25,13017,1541,625466.85,48.05,288770,33221,7147057.50,24.75,513075,60468,8003970.00,15.60
1338,08/10/2019,35,12,37,14,5,40,18,16,10,0,0,0.00,0.00,10,0,387664.50,38766.45,173,20,798135.50,4613.50,1013,112,410467.60,405.20,9063,1097,478979.55,52.85,207723,25236,5473501.05,26.35,378160,45392,6126192.00,16.20
1337,01/10/2019,7,10,37,28,27,12,42,21,22,0,0,0.00,0.00,13,0,321037.60,24695.20,157,13,660962.15,4209.95,1203,116,339907.65,282.55,8407,892,396390.05,47.15,193850,21086,4536090.00,23.40,353265,39025,5087016.00,14.40
1336,24/09/2019,26,36,45,12,24,38,17,1,39,0,0,0.00,0.00,6,2,263524.80,43920.80,123,24,542553.00,4411.00,705,84,279039.00,395.80,6262,809,325624.00,52.00,139243,17053,3717788.10,26.70,242074,29658,4175776.50,17.25
1335,17/09/2019,40,3,36,17,30,14,28,25,32,0,0,0.00,0.00,8,2,152118.00,19014.75,68,5,313184.20,4605.65,405,45,161068.50,397.70,3636,409,187981.20,51.70,83699,9454,2146879.35,25.65,143758,16156,2407946.50,16.75
1334,10/09/2019,23,35,14,28,12,17,26,15,29,0,0,0.00,0.00,1,0,109954.95,109954.95,45,4,226377.00,5030.60,330,46,116424.00,352.80,3183,401,135754.95,42.65,66729,8119,1551449.25,23.25,114725,13890,1738083.75,15.15
1333,03/09/2019,44,38,39,23,6,13,27,7,2,0,0,0.00,0.00,3,0,92692.80,30897.60,46,4,190837.90,4148.65,293,37,98140.35,334.95,2493,290,114553.35,45.95,52469,6275,1309101.55,24.95,97001,11589,1464715.10,15.10
1332,27/08/2019,27,22,20,40,32,7,29,33,25,1,0,10000000.00,10000000.00,6,0,153840.60,25640.10,51,7,316730.40,6210.40,424,56,162879.60,384.15,3937,545,189960.25,48.25,91085,11271,2172377.25,23.85,159197,18297,2435714.10,15.30
1331,20/08/2019,41,37,5,7,43,16,1,20,10,0,0,0.00,0.00,1,0,117963.10,117963.10,48,5,242865.60,5059.70,283,30,124902.05,441.35,2803,333,145756.00,52.00,62737,7801,1665667.35,26.55,115300,13836,1867860.00,16.20
1330,13/08/2019,11,18,27,21,1,14,7,36,35,0,0,0.00,0.00,3,0,100716.00,33572.00,111,15,207353.55,1868.05,491,65,106645.20,217.20,4903,619,124536.20,25.40,82891,10107,1421580.65,17.15,111315,13436,1591804.50,14.30
1329,06/08/2019,13,32,19,45,37,24,15,23,28,1,0,40000000.00,40000000.00,9,0,413176.95,45908.55,172,16,850660.40,4945.70,1061,154,437503.35,412.35,9371,1298,510250.95,54.45,219891,27760,5838106.05,26.55,402004,50995,6532565.00,16.25
1328,30/07/2019,5,21,23,27,30,34,11,42,40,0,0,0.00,0.00,11,6,330190.85,30017.35,206,32,679800.00,3300.00,1122,174,349615.20,311.60,10277,1345,407996.90,39.70,212386,26493,4661872.70,21.95,325082,41415,5217566.10,16.05
1327,23/07/2019,23,25,30,4,9,15,37,42,24,0,0,0.00,0.00,7,0,252287.70,36041.10,132,13,519413.40,3934.95,719,84,267144.45,371.55,6727,735,311796.45,46.35,145814,17302,3565152.30,24.45,240618,29117,3994258.80,16.60
1326,16/07/2019,37,22,32,31,5,14,8,23,10,0,0,0.00,0.00,5,0,159907.75,31981.55,57,5,329220.60,5775.80,440,44,169312.00,384.80,3667,478,197467.95,53.85,86044,10319,2258655.00,26.25,163429,19609,2533149.50,15.50
1325,09/07/2019,15,35,17,31,22,10,9,45,14,0,0,0.00,0.00,3,2,111571.05,37190.35,56,7,229706.40,4101.90,284,47,118129.80,415.95,2857,353,137850.25,48.25,62838,7560,1574091.90,25.05,106970,13233,1765005.00,16.50
1324,02/07/2019,5,28,40,9,44,6,7,41,37,0,0,0.00,0.00,3,0,97205.10,32401.70,54,5,200129.40,3706.10,212,33,102926.00,485.50,2525,273,120063.75,47.55,57339,6946,1373269.05,23.95,86535,11081,1535996.25,17.75
1323,25/06/2019,42,35,29,19,36,14,25,13,1,2,0,80000000.00,40000000.00,26,4,932848.80,35878.80,468,56,1920578.40,4103.80,2640,295,987756.00,374.15,22814,2649,1152107.00,50.50,510972,63433,13157529.00,25.75,906194,112984,14770962.20,16.30
