Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
4103,14/11/2020,27,23,45,6,15,26,2,29,1,0,6173193.84,6173193.84,56,5,695528.40,12420.15,1023,184,1052667.00,1029.00,58408,9082,1559493.60,26.70,154977,23503,2301408.45,14.85,855583,132905,7015780.60,8.20
4101,07/11/2020,35,1,3,15,7,8,10,5,6,1,6173524.20,1028920.70,153,14,697894.20,4561.40,1422,205,1056261.60,742.80,78118,11288,1566265.90,20.05,221838,31114,2307115.20,10.40,973928,142621,7060978.00,7.25
4099,31/10/2020,19,4,26,27,34,13,6,15,10,1,20000000.00,2000000.00,146,18,1551855.90,10629.15,2764,359,2348709.00,849.75,143238,20981,3480683.40,24.30,367679,53537,5129122.05,13.95,1994302,296270,15655270.70,7.85
4097,24/10/2020,31,38,3,30,23,45,19,40,4,0,6458284.16,1614571.04,61,12,731774.30,11996.30,990,181,1107562.50,1118.75,55183,9021,1641694.25,29.75,146894,23919,2423751.00,16.50,833106,132749,7414643.40,8.90
4095,17/10/2020,14,12,8,38,5,16,3,17,7,1,6501020.89,928717.27,92,14,732352.20,7960.35,1315,196,1108413.50,842.90,66793,9974,1643107.80,24.60,178599,25914,2428946.40,13.60,934105,140660,7379429.50,7.90
4093,10/10/2020,34,12,37,24,5,26,3,2,5,2,6463700.90,1292740.18,66,7,730309.80,11065.30,1202,171,1105359.20,919.60,61780,9347,1637170.00,26.50,159743,24717,2420106.45,15.15,873543,131469,7381438.35,8.45
4091,03/10/2020,29,21,11,3,24,38,40,36,4,0,4909175.88,1227293.97,69,6,620575.65,8993.85,1479,245,1339160.55,905.45,71550,11007,2024865.00,28.30,150187,23331,3394226.20,22.60,289814,44477,4042905.30,13.95
4089,26/09/2020,28,7,36,1,42,22,14,11,10,4,5113182.00,511318.20,108,27,649393.20,6012.90,1380,193,1401321.00,1015.45,69694,11036,2118697.60,30.40,211246,31484,3559495.10,16.85,379215,57407,4247208.00,11.20
4087,19/09/2020,1,41,26,23,14,8,33,12,7,2,5183228.40,740461.20,77,8,657125.70,8534.10,1550,204,1418017.50,914.85,72058,10868,2143725.50,29.75,167828,25162,3599910.60,21.45,321405,48920,4290756.75,13.35
4085,12/09/2020,31,28,12,39,36,27,6,24,8,0,4971999.36,621499.92,50,9,629772.50,12595.45,1048,165,1358994.00,1296.75,58417,8734,2056278.40,35.20,151332,22607,3450369.60,22.80,339299,51438,4105517.90,12.10
4083,05/09/2020,38,13,2,32,3,37,36,29,5,2,20000000.00,4000000.00,134,20,1476331.60,11017.40,2592,343,3185827.20,1229.10,134902,19852,4816001.40,35.70,340249,50800,8080913.75,23.75,729012,109738,9622958.40,13.20
4081,29/08/2020,16,13,25,44,40,20,4,28,9,2,4997238.57,555248.73,68,8,632692.40,9304.30,1172,183,1365262.80,1164.90,58233,9554,2064359.85,35.45,153820,24181,3460950.00,22.50,363818,55211,4129334.30,11.35
4079,22/08/2020,43,2,16,9,7,33,20,34,2,0,5117608.88,2558804.44,65,6,648293.75,9973.75,1196,163,1398961.20,1169.70,63326,9861,2115088.40,33.40,153406,23296,3551348.90,23.15,309824,46455,4229097.60,13.65
4077,15/08/2020,16,34,41,35,29,13,45,12,6,0,5083195.38,847199.23,68,9,643123.60,9457.70,1077,193,1387768.35,1288.55,55796,8736,2097929.60,37.60,138245,21919,3518335.25,25.45,291246,46457,4193942.40,14.40
4075,08/08/2020,11,18,1,17,42,34,19,43,5,1,5239178.80,1047835.76,51,6,663201.45,13003.95,1250,238,1431125.00,1144.90,63718,10211,2163226.10,33.95,155716,24412,3628182.80,23.30,315895,49888,4327761.50,13.70
4073,01/08/2020,8,23,42,9,38,29,13,17,6,0,5339005.98,889834.33,91,10,675042.55,7418.05,1309,208,1456655.20,1112.80,65449,10113,2202358.85,33.65,178847,27796,3693190.55,20.65,401645,61478,4398012.75,10.95
4071,25/07/2020,37,44,32,9,16,6,11,12,10,1,20000000.00,2000000.00,185,16,1569669.50,8484.70,2935,387,3387136.75,1154.05,145635,20297,5119070.25,35.15,381728,53377,8588880.00,22.50,835111,114634,10230109.75,12.25
