Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount
4103,14/11/2020,1,8,3,4,6,6,1,1,64284.30,64284.30,4,0,26664.00,6666.00,29,9,19314.00,666.00,366,111,24156.00,66.00,3545,1083,23397.00,6.60
4101,07/11/2020,8,1,3,2,9,4,0,0,0.00,0.00,3,0,19998.00,6666.00,33,7,21978.00,666.00,308,78,20328.00,66.00,3485,1069,23001.00,6.60
4099,31/10/2020,2,4,2,2,6,5,0,0,0.00,0.00,5,1,33330.00,6666.00,28,5,18648.00,666.00,373,105,24618.00,66.00,3617,1033,23872.20,6.60
4097,24/10/2020,7,1,0,4,9,6,1,0,101462.15,101462.15,7,1,46662.00,6666.00,39,13,25974.00,666.00,393,109,25938.00,66.00,3997,1133,26380.20,6.60
4095,17/10/2020,5,0,6,0,4,7,0,0,0.00,0.00,2,2,13332.00,6666.00,41,16,27306.00,666.00,342,94,22572.00,66.00,3923,1093,25891.80,6.60
4093,10/10/2020,9,5,8,5,9,7,0,0,0.00,0.00,1,1,6666.00,6666.00,35,11,23310.00,666.00,356,92,23496.00,66.00,3667,1071,24202.20,6.60
4091,03/10/2020,2,4,1,0,1,3,0,0,0.00,0.00,4,1,26664.00,6666.00,43,11,28638.00,666.00,316,100,20856.00,66.00,3360,924,22176.00,6.60
4089,26/09/2020,3,8,9,1,3,2,1,0,66764.20,66764.20,7,0,46662.00,6666.00,43,12,28638.00,666.00,400,111,26400.00,66.00,4027,1195,26578.20,6.60
4087,19/09/2020,3,0,1,9,4,8,0,0,0.00,0.00,3,1,19998.00,6666.00,39,16,25974.00,666.00,396,121,26136.00,66.00,3914,1239,25832.40,6.60
4085,12/09/2020,2,5,0,0,8,0,0,0,0.00,0.00,3,1,19998.00,6666.00,30,6,19980.00,666.00,373,119,24618.00,66.00,3504,1146,23126.40,6.60
4083,05/09/2020,6,8,9,0,2,0,1,0,16666.00,16666.00,6,2,39996.00,6666.00,35,15,23310.00,666.00,409,130,26994.00,66.00,4065,1324,26829.00,6.60
4081,29/08/2020,6,8,0,5,1,6,2,1,63183.10,31591.55,6,3,39996.00,6666.00,38,19,25308.00,666.00,421,131,27786.00,66.00,3751,1161,24756.60,6.60
4079,22/08/2020,6,8,9,8,0,2,0,0,0.00,0.00,2,1,13332.00,6666.00,34,11,22644.00,666.00,354,113,23364.00,66.00,3595,1065,23727.00,6.60
4077,15/08/2020,0,5,1,8,9,2,1,0,102307.60,102307.60,5,1,33330.00,6666.00,48,12,31968.00,666.00,409,136,26994.00,66.00,4177,1324,27568.20,6.60
4075,08/08/2020,6,5,6,6,2,2,0,0,0.00,0.00,3,0,19998.00,6666.00,39,10,25974.00,666.00,415,135,27390.00,66.00,4050,1304,26730.00,6.60
4073,01/08/2020,9,6,6,4,5,4,0,0,0.00,0.00,3,1,19998.00,6666.00,33,9,21978.00,666.00,371,118,24486.00,66.00,4061,1340,26802.60,6.60
4071,25/07/2020,1,7,4,9,1,5,0,0,0.00,0.00,3,1,19998.00,6666.00,42,11,27972.00,666.00,425,126,28050.00,66.00,3979,1267,26261.40,6.60
4069,18/07/2020,8,0,2,8,1,5,1,0,108030.45,108030.45,5,1,33330.00,6666.00,49,8,32634.00,666.00,426,126,28116.00,66.00,4526,1462,29871.60,6.60
4067,11/07/2020,1,4,6,0,6,1,0,0,0.00,0.00,4,1,26664.00,6666.00,44,15,29304.00,666.00,403,132,26598.00,66.00,4243,1438,28003.80,6.60
4065,04/07/2020,1,8,4,7,9,4,0,0,0.00,0.00,7,4,46662.00,6666.00,46,25,30636.00,666.00,369,123,24354.00,66.00,3814,1249,25172.40,6.60
4063,27/06/2020,9,1,4,0,4,0,0,0,0.00,0.00,6,2,39996.00,6666.00,36,12,23976.00,666.00,336,129,22176.00,66.00,3642,1172,24037.20,6.60
4061,20/06/2020,0,3,5,7,5,7,0,0,0.00,0.00,5,1,33330.00,6666.00,41,8,27306.00,666.00,367,128,24222.00,66.00,4002,1262,26413.20,6.60
4059,13/06/2020,0,4,2,6,5,3,0,0,0.00,0.00,4,2,26664.00,6666.00,38,13,25308.00,666.00,329,113,21714.00,66.00,3485,1090,23001.00,6.60
4057,06/06/2020,3,8,6,2,5,9,1,1,70686.30,70686.30,3,0,19998.00,6666.00,33,9,21978.00,666.00,362,113,23892.00,66.00,3847,1187,25390.20,6.60
4055,30/05/2020,4,1,3,1,9,1,0,0,0.00,0.00,1,1,6666.00,6666.00,27,9,17982.00,666.00,320,90,21120.00,66.00,3549,1073,23423.40,6.60
4053,23/05/2020,0,3,3,4,0,9,2,0,49998.00,24999.00,2,0,13332.00,6666.00,48,17,31968.00,666.00,372,112,24552.00,66.00,3773,1194,24901.80,6.60
4051,16/05/2020,4,4,0,0,3,2,0,0,0.00,0.00,4,2,26664.00,6666.00,42,13,27972.00,666.00,374,126,24684.00,66.00,3555,1143,23463.00,6.60
4049,09/05/2020,5,7,1,9,8,2,1,0,327064.35,327064.35,6,1,39996.00,6666.00,58,17,38628.00,666.00,564,181,37224.00,66.00,5653,1810,37309.80,6.60
4047,02/05/2020,5,9,9,4,2,9,0,0,0.00,0.00,4,2,26664.00,6666.00,46,21,30636.00,666.00,495,152,32670.00,66.00,4861,1496,32082.60,6.60
4045,25/04/2020,3,6,4,7,7,0,0,0,0.00,0.00,3,1,19998.00,6666.00,43,15,28638.00,666.00,456,146,30096.00,66.00,4537,1460,29944.20,6.60
4043,18/04/2020,6,6,0,1,6,0,0,0,0.00,0.00,6,4,39996.00,6666.00,59,23,39294.00,666.00,430,124,28380.00,66.00,4212,1343,27799.20,6.60
4041,11/04/2020,8,5,2,9,9,5,0,0,0.00,0.00,2,0,13332.00,6666.00,39,10,25974.00,666.00,395,118,26070.00,66.00,3944,1248,26030.40,6.60
