Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
4025,11/11/2020,4,25,30,20,14,45,5,42,1,0,1000000.00,1000000.00,12,2,81913.20,6826.10,315,34,126771.75,402.45,15184,1647,360620.00,23.75,38194,4185,513709.30,13.45,64936,7689,866895.60,13.35
4023,04/11/2020,14,27,18,20,1,36,4,15,3,1,3000000.00,1000000.00,14,3,77168.00,5512.00,279,27,119425.95,428.05,14810,1416,339889.50,22.95,37468,3870,483337.20,12.90,75842,8025,819093.60,10.80
4021,28/10/2020,39,23,12,38,14,21,33,36,0,0,0.00,0.00,6,1,69201.30,11533.55,193,20,107095.70,554.90,11060,1292,304703.00,27.55,26736,3009,433123.20,16.20,57732,6502,733196.40,12.70
4019,21/10/2020,38,6,40,45,17,36,26,30,1,1,1000000.00,1000000.00,14,1,75318.60,5379.90,210,36,116560.50,555.05,11390,1362,332018.50,29.15,28360,3861,472194.00,16.65,65807,8016,799555.05,12.15
4017,14/10/2020,18,41,10,40,17,34,5,36,0,0,0.00,0.00,13,2,71479.85,5498.45,177,18,110625.00,625.00,10491,1212,314730.00,30.00,27171,3303,446962.95,16.45,60357,6946,757480.35,12.55
4015,07/10/2020,9,13,17,7,6,10,19,35,2,0,2000000.00,1000000.00,19,3,73024.60,3843.40,439,44,113020.55,257.45,19584,2233,321177.60,16.40,40671,4731,457548.75,11.25,68592,7745,775089.60,11.30
4013,30/09/2020,13,10,40,26,11,43,44,29,1,0,1000000.00,1000000.00,16,2,78593.60,4912.10,221,23,121627.35,550.35,13014,1459,346172.40,26.60,34066,3920,492253.70,14.45,66103,7486,832897.80,12.60
4011,23/09/2020,1,31,6,5,32,4,3,11,1,0,1000000.00,1000000.00,18,1,84268.80,4681.60,271,29,130418.75,481.25,17159,1803,371492.35,21.65,46391,4889,526537.85,11.35,107374,11976,891204.20,8.30
4009,16/09/2020,16,3,23,4,22,13,26,45,0,0,0.00,0.00,17,6,74114.05,4359.65,354,31,114696.00,324.00,17049,1975,326488.35,19.15,35825,4214,463933.75,12.95,57425,7084,783851.25,13.65
4007,09/09/2020,7,37,43,4,26,35,30,44,0,0,0.00,0.00,5,1,185550.00,37110.00,260,24,287170.00,1104.50,14816,1642,817843.20,55.20,36375,4033,1160362.50,31.90,74537,8142,1967776.80,26.40
4005,02/09/2020,34,2,22,7,21,40,44,3,1,0,1000000.00,1000000.00,11,0,72696.80,6608.80,242,26,112505.80,464.90,13218,1514,320536.50,24.25,31776,3527,455985.60,14.35,59851,7013,769085.35,12.85
4003,26/08/2020,32,45,12,15,11,2,27,36,0,0,0.00,0.00,14,1,80409.70,5743.55,199,23,124444.65,625.35,12886,1448,354365.00,27.50,33286,3847,504282.90,15.15,73240,7875,853246.00,11.65
4001,19/08/2020,3,13,37,30,12,44,11,31,1,1,1000000.00,1000000.00,17,1,82468.70,4851.10,315,34,127622.25,405.15,14003,1506,363377.85,25.95,36735,4069,516126.75,14.05,81193,8626,872824.75,10.75
3999,12/08/2020,37,30,5,40,27,6,3,36,0,0,0.00,0.00,17,3,80910.65,4759.45,221,22,125218.60,566.60,12936,1506,356386.80,27.55,33245,3964,506986.25,15.25,71207,7978,858044.35,12.05
